PartitionKey,RowKey,ASIN,Account,Average_Sales_Price,Average_Sales_Price_Prior_Period,Brand,Change_in_GV_Last_Year,Change_in_Glance_View_Prior_Period,Distributor_View,LBB_Price,Model_Or_Style_Number,Occurrence,Product_Image_URL,Product_Title,Product_URL,Rep_OOS,Rep_OOS_Percent_of_Total,Rep_OOS_Prior_Period,Reporting_Range,Sales_View,Shipped_COGS,Shipped_COGS_Last_Year,Shipped_COGS_Percent_of_Total,Shipped_COGS_Prior_Period,Shipped_Units,Shipped_Units_Last_Year,Shipped_Units_Percent_of_Total,Shipped_Units_Prior_Period,Subcategory_Sales_Rank,UPC,Viewing_End,Viewing_Start
01-01-2021,B00NMFCJKO_01_2021,B00NMFCJKO,Demo,27.48,0,Feelin Good Tees,1.1666666666666667,-0.0714285714285714,,0,E94CDCA,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B00NMFCJKO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Never Forget Funny Retro Music Mens Novelty Funny T Shirt L Military,https://www.amazon.com/dp/B00NMFCJKO,0,0,0,Monthly,Shipped COGS,217,0,0.0008314990859449337,0,10,0,0.001076889941847943,0,89,164460985483,01/31/2021,01/01/2021
01-01-2021,B009SBXX2E_01_2021,B009SBXX2E,Demo,26.148032786885246,-0.14604699999999998,Brixton,1,0.2093023255813953,,0,4DLBQJY,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B009SBXX2E&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,"Brixton Men's Oath III Medium Profile Adjustable Snapback Hat, heather grey/black, One Size",https://www.amazon.com/dp/B009SBXX2E,0.019230769230769232,0.0004636068613815485,0,Monthly,Shipped COGS,790.63,0.3687718569301617,0.0030295305176066493,11.830737,61,1.103448275862069,0.006569028645272454,9.166667,16,304316111711,01/31/2021,01/01/2021
01-01-2021,B07C4Z2BWG_01_2021,B07C4Z2BWG,Demo,0,0,Feelin Good Tees,-1,-1,,,FPWHSU5,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B07C4Z2BWG&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Feelin Good Tees I Wear This Shirt Periodically Funny Science T Shirt XL Dark Grey,https://www.amazon.com/dp/B07C4Z2BWG,,0,,Monthly,Shipped COGS,0,0,0,0,0,0,0,0,,752817220316,01/31/2021,01/01/2021
01-01-2021,B01A7BD1GQ_01_2021,B01A7BD1GQ,Demo,23.740000000000002,0,,1.9411764705882353,-0.15254237288135597,,0,Brew Cork,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01A7BD1GQ&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,"KeepCup 12oz Reusable Coffee Cup. Toughened Glass Cup & Natural Cork Band. 12-Ounce/Medium, Press",https://www.amazon.com/dp/B01A7BD1GQ,0.04,0.000927213722763097,0,Monthly,Shipped COGS,1803.5,8.750756920415224,0.00691063871659764,1.770694,85,9.625,0.009153564505707517,1.5757579999999998,11,818058470494,01/31/2021,01/01/2021
01-01-2021,B01670RHTS_01_2021,B01670RHTS,Demo,0,0,Devialet,-0.75,,,,DB245,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01670RHTS&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Devialet Classic Phantom - high-end Wireless Speaker - 2000 Watts - 103 dB,https://www.amazon.com/dp/B01670RHTS,0,0,,Monthly,Shipped COGS,0,0,0,0,0,0,0,0,,884449911096,01/31/2021,01/01/2021
01-01-2021,B004ODEPSC_01_2021,B004ODEPSC,Demo,62.54,0,QUALY,1,3,,0,9984,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B004ODEPSC&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Sparrow Salad Bowl Color: Green,https://www.amazon.com/dp/B004ODEPSC,0,0,0,Monthly,Shipped COGS,48.55,0,0.00018603355125634344,0,1,0,0.00010768899418479432,0,727,935715134076,01/31/2021,01/01/2021
01-01-2021,B01NCUQ3VO_01_2021,B01NCUQ3VO,Demo,55.35260869565217,-0.006568000000000001,Crazy Bros Tees,-0.25308641975308643,0.49382716049382713,,0,IDOAC8W,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01NCUQ3VO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,I Do What I Want - 11oz White Ceramic Coffee Mug - Perfect Gift for Cat Mom or Dad Lovers - Funny Crazy Grumpy Cat Lover Mugs - By CBT Mugs,https://www.amazon.com/dp/B01NCUQ3VO,0,0,-1,Monthly,Shipped COGS,899.88,-0.207161170386164,0.0034481539053462067,2.613976,23,-0.25806451612903225,0.0024768468662502694,2.285714,34,682583772174,01/31/2021,01/01/2021
01-01-2021,383655058X_01_2021,383655058X,Demo,0,0,,-0.8085106382978724,-0.5263157894736843,,,4H4WFQR,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=383655058X&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,1000 Record Covers (Bibliotheca Universalis)--multilingual,https://www.amazon.com/dp/383655058X,0,0,,Monthly,Shipped COGS,0,0,0,0,0,0,0,0,,804504750933,01/31/2021,01/01/2021
01-01-2021,B00NMGUQBW_01_2021,B00NMGUQBW,Demo,0,0,Feelin Good Tees,-0.7777777777777777,1,,,YPPA3O8,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B00NMGUQBW&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,I Am Currently Unsupervised Adult Humor Novelty Graphic Sarcasm Funny T Shirt XL Black1,https://www.amazon.com/dp/B00NMGUQBW,0,0,,Monthly,Shipped COGS,0,0,0,0,0,0,0,0,,730820397251,01/31/2021,01/01/2021
01-01-2021,B01K0C2D9I_01_2021,B01K0C2D9I,Demo,11.98,0,Feelin Good Tees,-0.5714285714285715,0.19999999999999996,,0,M7JKRAL,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01K0C2D9I&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,I Am Currently Unsupervised Adult Humor Novelty Graphic Sarcasm Funny T Shirt XL Black1,https://www.amazon.com/dp/B01K0C2D9I,0,0,0,Monthly,Shipped COGS,23.64,-0.7096179830487656,9.058358705870153e-05,-0.419165,2,-0.7142857142857143,0.00021537798836958864,-0.5,434,873250699689,01/31/2021,01/01/2021
