PartitionKey,RowKey,ASIN,Account,Average_Sales_Price,Average_Sales_Price_Prior_Period,Brand,Change_in_GV_Last_Year,Change_in_Glance_View_Prior_Period,Distributor_View,Model_Or_Style_Number,Occurrence,Product_Image_URL,Product_Title,Product_URL,Rep_OOS_Percent_of_Total,Reporting_Range,Sales_View,Shipped_COGS,Shipped_COGS_Last_Year,Shipped_COGS_Percent_of_Total,Shipped_COGS_Prior_Period,Shipped_Units,Shipped_Units_Last_Year,Shipped_Units_Percent_of_Total,Shipped_Units_Prior_Period,UPC,Viewing_End,Viewing_Start,LBB_Price,Rep_OOS,Rep_OOS_Prior_Period,Subcategory_Sales_Rank
01-03-2021,B00NMFCJKO_01_03_2021,B00NMFCJKO,Demo,0,0,Feelin Good Tees,-1,-1,,E94CDCA,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B00NMFCJKO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Never Forget Funny Retro Music Mens Novelty Funny T Shirt L Military,https://www.amazon.com/dp/B00NMFCJKO,0,Weekly,Shipped COGS,0,0,0,0,0,0,0,0,164460985483,01/09/2021,01/03/2021,,,,
01-03-2021,B009SBXX2E_01_03_2021,B009SBXX2E,Demo,30.63,0,Brixton,0,0.19999999999999996,,4DLBQJY,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B009SBXX2E&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,"Brixton Men's Oath III Medium Profile Adjustable Snapback Hat, heather grey/black, One Size",https://www.amazon.com/dp/B009SBXX2E,0,Weekly,Shipped COGS,177.97,-0.5419754992793906,0.0030738885285768692,0,13,-0.2777777777777778,0.006274131274131274,0,304316111711,01/09/2021,01/03/2021,0,0,-1,24
01-03-2021,B07C4Z2BWG_01_03_2021,B07C4Z2BWG,Demo,0,0,Feelin Good Tees,,-1,,FPWHSU5,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B07C4Z2BWG&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Feelin Good Tees I Wear This Shirt Periodically Funny Science T Shirt XL Dark Grey,https://www.amazon.com/dp/B07C4Z2BWG,0,Weekly,Shipped COGS,0,0,0,0,0,0,0,0,752817220316,01/09/2021,01/03/2021,,,,
01-03-2021,B01A7BD1GQ_01_03_2021,B01A7BD1GQ,Demo,23.740000000000002,0,,0.33333333333333337,3,,Brew Cork,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01A7BD1GQ&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,"KeepCup 12oz Reusable Coffee Cup. Toughened Glass Cup & Natural Cork Band. 12-Ounce/Medium, Press",https://www.amazon.com/dp/B01A7BD1GQ,0,Weekly,Shipped COGS,818.56,0,0.014138125492790256,0,41,0,0.019787644787644786,0,818058470494,01/09/2021,01/03/2021,0,0,0,6
01-03-2021,B01670RHTS_01_03_2021,B01670RHTS,Demo,0,0,Devialet,-1,,,DB245,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01670RHTS&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Devialet Classic Phantom - high-end Wireless Speaker - 2000 Watts - 103 dB,https://www.amazon.com/dp/B01670RHTS,0,Weekly,Shipped COGS,0,0,0,0,0,0,0,0,884449911096,01/09/2021,01/03/2021,,,,
01-03-2021,B004ODEPSC_01_03_2021,B004ODEPSC,Demo,0,0,QUALY,-0.5,,,9984,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B004ODEPSC&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,Sparrow Salad Bowl Color: Green,https://www.amazon.com/dp/B004ODEPSC,0,Weekly,Shipped COGS,0,0,0,0,0,0,0,0,935715134076,01/09/2021,01/03/2021,0,0,,
01-03-2021,B01NCUQ3VO_01_03_2021,B01NCUQ3VO,Demo,55.02117647058824,0,Crazy Bros Tees,-0.024390243902439025,1.6666666666666665,,IDOAC8W,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01NCUQ3VO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,I Do What I Want - 11oz White Ceramic Coffee Mug - Perfect Gift for Cat Mom or Dad Lovers - Funny Crazy Grumpy Cat Lover Mugs - By CBT Mugs,https://www.amazon.com/dp/B01NCUQ3VO,0,Weekly,Shipped COGS,652.2,1.0190700266237387,0.011264764276776053,0,17,0.8888888888888888,0.008204633204633206,0,682583772174,01/09/2021,01/03/2021,0,0,0,8
01-03-2021,383655058X_01_03_2021,383655058X,Demo,0,0,,-0.8666666666666667,-0.6,,4H4WFQR,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=383655058X&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,1000 Record Covers (Bibliotheca Universalis)--multilingual,https://www.amazon.com/dp/383655058X,0,Weekly,Shipped COGS,0,0,0,0,0,0,0,0,804504750933,01/09/2021,01/03/2021,,0,,
01-03-2021,B00NMGUQBW_01_03_2021,B00NMGUQBW,Demo,0,0,Feelin Good Tees,-1,,,YPPA3O8,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B00NMGUQBW&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,I Am Currently Unsupervised Adult Humor Novelty Graphic Sarcasm Funny T Shirt XL Black1,https://www.amazon.com/dp/B00NMGUQBW,0,Weekly,Shipped COGS,0,0,0,0,0,0,0,0,730820397251,01/09/2021,01/03/2021,,,,
01-03-2021,B01K0C2D9I_01_03_2021,B01K0C2D9I,Demo,11.98,0,Feelin Good Tees,-0.6666666666666667,-0.75,,M7JKRAL,1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01K0C2D9I&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,I Am Currently Unsupervised Adult Humor Novelty Graphic Sarcasm Funny T Shirt XL Black1,https://www.amazon.com/dp/B01K0C2D9I,0,Weekly,Shipped COGS,23.64,0,0.00040830884315085227,0,2,0,0.0009652509652509653,0,873250699689,01/09/2021,01/03/2021,0,0,0,204
