PartitionKey,RowKey,ASIN,AcceptedQuantity,Account,Availability,BackOrdered,CaseCost,CaseCostCurrency,CaseSize,ConfirmedShipDate,ExpectedDate,ModelNumber,POID,ProductIDType,Product_Image_URL,Product_URL,QuantityOutstanding,QuantityReceived,QuantityRequested,SKU,ShipLocation,Status,Title,TotalCost,TotalCostCurrency,UnitCost,UnitCostCurrency,Vendor,WindowEnd,WindowStart,WindowType
Demo,B01A7BD1GQ-2FGFP21T,B01A7BD1GQ,1,Demo,Accepted: EDI Only,NO,,,,,02/06/2021,Brew Cork,2FGFP21T,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01A7BD1GQ&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01A7BD1GQ,,1,1,B01A7BD1GQ,"LAS6 - Las Vegas, NV",Closed,"KeepCup 12oz Reusable Coffee Cup. Toughened Glass Cup & Natural Cork Band. 12-Ounce/Medium, Press",23.12,,23.12,,Demo,02/05/2021,02/01/2021,Ship window (Collect)
Demo,B01A7BD1GQ-13RWW1PQ,B01A7BD1GQ,34,Demo,Accepted: EDI Only,NO,,,,,02/07/2021,Brew Cork,13RWW1PQ,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01A7BD1GQ&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01A7BD1GQ,,34,34,B01A7BD1GQ,"MKC4 - Edgerton , KS",Closed,"KeepCup 12oz Reusable Coffee Cup. Toughened Glass Cup & Natural Cork Band. 12-Ounce/Medium, Press",786.08,,23.12,,Demo,02/05/2021,02/01/2021,Ship window (Collect)
Demo,B01K0C2D9I-23IAFAPA,B01K0C2D9I,,Demo,Discontinued: Obsolete,NO,,,,,,M7JKRAL,23IAFAPA,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01K0C2D9I&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01K0C2D9I,,,3,B01K0C2D9I,"LGB8 - Rialto, CA",Closed,I Am Currently Unsupervised Adult Humor Novelty Graphic Sarcasm Funny T Shirt XL Black1,,,11.05,,Demo,02/12/2021,02/08/2021,Ship window (Collect)
Demo,B01H5RPQAO-1BPXAN2T,B01H5RPQAO,1,Demo,Accepted: EDI Only,NO,,,,,01/15/2021,PI-2140,1BPXAN2T,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01H5RPQAO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01H5RPQAO,,1,1,B01H5RPQAO,"BNA2 - Lebanon, TN",Closed,"LED Word Clock - Displays Time as Text - Powered by AC Adapter (8"" x 8"")",20.65,,20.65,,Demo,01/08/2021,01/04/2021,Ship window (Collect)
Demo,B01H5RPQAO-2XU1FUFG,B01H5RPQAO,1,Demo,Accepted: EDI Only,NO,,,,,01/24/2021,PI-2140,2XU1FUFG,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01H5RPQAO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01H5RPQAO,,1,1,B01H5RPQAO,"PHL6 - Carlisle, PA",Closed,"LED Word Clock - Displays Time as Text - Powered by AC Adapter (8"" x 8"")",20.65,,20.65,,Demo,01/15/2021,01/11/2021,Ship window (Collect)
Demo,B01H5RPQAO-32P2N1XZ,B01H5RPQAO,1,Demo,Accepted: EDI Only,NO,,,,,01/22/2021,PI-2140,32P2N1XZ,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01H5RPQAO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01H5RPQAO,,1,1,B01H5RPQAO,"IND5 - Plainfield, IN",Closed,"LED Word Clock - Displays Time as Text - Powered by AC Adapter (8"" x 8"")",20.65,,20.65,,Demo,01/15/2021,01/11/2021,Ship window (Collect)
Demo,B01H5RPQAO-3TUFBFGR,B01H5RPQAO,4,Demo,Accepted: EDI Only,NO,,,,,01/22/2021,PI-2140,3TUFBFGR,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01H5RPQAO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01H5RPQAO,,4,4,B01H5RPQAO,"SBD2 - SAN BERNARDINO, CA",Closed,"LED Word Clock - Displays Time as Text - Powered by AC Adapter (8"" x 8"")",82.6,,20.65,,Demo,01/15/2021,01/11/2021,Ship window (Collect)
Demo,B01H5RPQAO-1XZRRZXZ,B01H5RPQAO,1,Demo,Accepted: EDI Only,NO,,,,,01/07/2021,PI-2140,1XZRRZXZ,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B01H5RPQAO&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B01H5RPQAO,,1,1,B01H5RPQAO,"HOU3 - Brookshire, TX",Closed,"LED Word Clock - Displays Time as Text - Powered by AC Adapter (8"" x 8"")",20.65,,20.65,,Demo,01/08/2021,01/04/2021,Ship window (Collect)
Demo,B06XJBZG3V-3TZ3P3AG,B06XJBZG3V,,Demo,Cancelled: Invalid product information,NO,,,,,,6K3B410,3TZ3P3AG,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B06XJBZG3V&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B06XJBZG3V,,,1,B06XJBZG3V,"CHA2 - Charleston, TN",Closed,Feelin Good Tees I Wear This Shirt Periodically Funny Science T Shirt XL Dark Grey,,,37.15,,Demo,02/05/2021,02/01/2021,Ship window (Collect)
Demo,B06XJBZG3V-2ZP3T31Q,B06XJBZG3V,,Demo,Cancelled: Invalid product information,NO,,,,,,6K3B410,2ZP3T31Q,,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=B06XJBZG3V&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=SL250,https://www.amazon.com/dp/B06XJBZG3V,,,1,B06XJBZG3V,"OAK3 - Patterson, CA",Closed,Feelin Good Tees I Wear This Shirt Periodically Funny Science T Shirt XL Dark Grey,,,37.15,,Demo,02/05/2021,02/01/2021,Ship window (Collect)
